City Name,State Code/Country Name,Latitude,Longitude
Anchorage,AK,61.2163129,-149.894852
International Falls,CO,48.601033,-93.4105904
Waltham,MA,42.3756401,-71.2358004
Chicago,IL,41.8755616,-87.6244212
Dallas,TX,32.7762719,-96.7968559
El Segundo,CA,33.917028,-118.4156337
Oakland,CA,37.8044557,-122.2713563
Phoenix,AL,-29.7072076,-51.1859356
Portland,OR,45.5202471,-122.6741949
Prineville,OR,44.2998261,-120.834972
Mayes County,OK,36.3047676,-95.2355722
Santa Clara,CA,37.2333253,-121.6846349
Seattle,WA,47.6038321,-122.3300624
Austin,TX,30.2711286,-97.7436995
Houston,TX,29.7589382,-95.3676974
Potrero,CA,32.6047822,-116.6130731
Atlanta,GA,33.7489924,-84.3902644
New York,NY,40.7127281,-74.0060152
Bridgeport,CT,41.1670412,-73.2048348
Edison,NJ,40.538457,-74.39450187
Clifton,NJ,40.8584328,-74.1637553
Piscataway,NJ,40.5462553,-74.4660408
Weehawken,NJ,40.7695457,-74.0204177
Charlotte,NC,35.2272086,-80.8430827
Maiden,NC,35.5766048,-81.2139216
Miami,FL,25.7741728,-80.19362
Reston,VA,38.955696,-77.34188284
San Jose,ca,37.3361905,-121.890583
Bluffdale,UT,40.4896712,-111.9388244
Salt Lake City,UT,40.7596198,-111.8867975
Mesa,Az,33.4151117,-111.8314792
Kansas City,KS,39.1134562,-94.626497
Los Luna,NM,32.1308466,-107.7768806
Altoona,IA,41.6437308,-93.4696031
Reno,NV,39.5261206,-119.8126581
Kuna,ID,43.4918307,-116.420122
Ashburn,VA,39.0300191,-77.46964647
Council Bluffs,IA,41.2621283,-95.8613912
Dalles,OR,45.6015056,-121.1841587
Quincy,WA,47.133365,2.1574605
Henrico,VA,37.4957023,-77.335257
Huntsville,AL,34.729847,-86.5859011
Forest City,NC,35.3340108,-81.8651028
New Albany,OH,40.0811745,-82.8087864
Gallatin,TN,36.3883031,-86.4475898
Calgary,Canada,51.0460954,-114.065465
Montreal,Canada,45.5031824,-73.5698065
Vancouver,Canada,49.2608724,-123.113952
Ottawa,Canada,45.4211435,-75.6900574
Kamloops,Canada,50.6758269,-120.339415
Singapore,Singapore,1.357107,103.8194992
Karnataka,India,14.5203896,75.7223521
Mumbai,India,19.0759899,72.8773928
Bengaluru,India,12.9767936,77.590082
Taipei,Taiwan,25.0375198,121.5636796
Jakarta,Indonesia,-6.1753942,106.827183
Bekasi,Indonesia,-6.2349858,106.9945444
Seoul,South Korea,37.5666791,126.9782914
Nagano,Japan,36.1143945,138.0319015
Aomori,Japan,40.886943,140.590121
Sapporo,Japan,43.061936,141.3542924
Kuala Lumpur,Malaysia,3.1516964,101.6942371
Cyberjaya,Malaysia,2.9338908,101.6455587
Ulaanbaatar,Mongolian State,47.88530635,106.9101047
Astana,Qazaqstan,51.1282205,71.4306682
Reykjavik,Iceland,64.145981,-21.9422367
Tallinn,Estonia,59.4372155,24.7453688
Odense,Denmark,55.3997225,10.3852104
Warsaw,Poland,52.2319581,21.0067249
Lulea,Sweden,65.5831187,22.1459535
Hamina,Finland,60.5688901,27.1881877
Kajana,Finland,64.2240872,27.7334227
Skien,Norway,59.2662883,9.531135448
Ballangen,Norway,68.3428581,16.8313327
Oslo,Norway,59.9133301,10.7389701
Middenmeer,Netherlands,52.8111468,4.9948462
St. Ghislain,Belgium,50.4477484,3.8195241
Dublin,Ireland,53.3497645,-6.2602732
Newport,UK,51.5718862,-2.975246163
Cardiff,UK,51.4816546,-3.1791934
Frankfurt,Germany,50.1106444,8.6820917
Zurich,Switzerland,47.3744489,8.5410422
Sydney,Australia,-33.8548157,151.2164539
Perth,Australia,-31.9558964,115.8605801
Istanbul,Turkey,41.0091982,28.9662187
Dubai,UAE,25.2653471,55.2924914
Abu Dhabi,UAE,24.4538352,54.3774014
Muscat,Oman,23.61515,58.5912467
Manama,Bahrain,26.2235041,50.5822436
Sao Paulo,Brazil,-23.5506507,-46.6333824
Rio de Janeiro,Brazil,-22.9110137,-43.2093727
Bogota,Columbia,4.6533326,-74.083652
Mexico City,Mexico,19.4326296,-99.1331785
Queretaro,Mexico,20.5927744,-100.3902245
Monterrey,Mexico,25.6802019,-100.315258
Bahia Blanca,Argentina,-38.7176522,-62.2654871
Quilicura,Chille,-33.3552701,-70.74435525
Cairo,Egypt,30.0443879,31.2357257
Tunis,Tunisia,33.8439408,9.400138
Cape Town,South Africa,-33.928992,18.417396
Johannesburg,South Africa,-26.205,28.049722
Lagos,Nigeria,6.4550575,3.3941795